"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","20-Sep-2011","821.55","823.00","853.95","816.30","852.10","851.80","837.43","42,14,600","3,52,94,52,616.55","1,02,689","15,66,868","37.18"
"RELIANCE","EQ","21-Sep-2011","851.80","850.90","850.90","832.30","835.05","837.60","838.76","38,92,821","3,26,51,57,083.55","88,473","12,43,401","31.94"
"RELIANCE","EQ","22-Sep-2011","837.60","823.95","827.90","780.00","780.25","786.35","803.06","62,39,874","5,01,09,73,317.40","1,39,705","25,85,867","41.44"
"RELIANCE","EQ","23-Sep-2011","786.35","773.90","792.60","764.10","768.00","770.60","777.84","88,03,427","6,84,76,77,625.40","1,74,028","30,98,528","35.20"
"RELIANCE","EQ","26-Sep-2011","770.60","769.20","770.70","747.55","760.45","759.20","758.17","62,17,951","4,71,42,93,887.80","1,29,410","30,42,657","48.93"
"RELIANCE","EQ","27-Sep-2011","759.20","774.00","800.70","772.00","798.65","797.20","787.17","50,39,564","3,96,69,97,012.55","1,24,486","24,78,936","49.19"
"RELIANCE","EQ","28-Sep-2011","797.20","799.75","806.30","789.10","796.05","797.20","797.08","57,22,488","4,56,12,52,869.55","1,24,442","21,87,171","38.22"
"RELIANCE","EQ","29-Sep-2011","797.20","790.50","812.75","784.45","810.05","807.70","798.21","72,03,038","5,74,95,58,914.70","1,20,443","36,75,036","51.02"
"RELIANCE","EQ","30-Sep-2011","807.70","803.50","822.90","792.50","805.55","808.35","809.05","79,87,653","6,46,24,12,773.45","1,73,347","36,01,078","45.08"
"RELIANCE","EQ","03-Oct-2011","808.35","791.20","799.90","784.10","786.75","788.20","791.13","48,25,259","3,81,74,03,067.45","90,707","24,73,572","51.26"
"RELIANCE","EQ","04-Oct-2011","788.20","784.00","790.80","765.25","771.15","771.60","778.35","60,00,741","4,67,06,70,709.90","1,24,573","25,78,492","42.97"
"RELIANCE","EQ","05-Oct-2011","771.60","772.55","777.90","761.75","765.35","767.00","768.93","47,39,596","3,64,44,22,849.85","1,08,407","18,00,308","37.98"
"RELIANCE","EQ","07-Oct-2011","767.00","786.70","808.00","784.90","806.05","802.90","795.33","45,51,326","3,61,98,13,489.75","1,48,911","22,78,876","50.07"
"RELIANCE","EQ","10-Oct-2011","802.90","804.25","830.90","804.20","829.00","829.25","821.32","33,93,633","2,78,72,73,346.20","1,01,332","12,35,323","36.40"
"RELIANCE","EQ","11-Oct-2011","829.25","835.00","841.40","822.50","824.50","827.00","830.94","35,92,510","2,98,51,58,192.90","83,747","13,44,026","37.41"
"RELIANCE","EQ","12-Oct-2011","827.00","829.40","851.90","826.05","847.60","849.65","838.85","39,47,624","3,31,14,69,587.15","90,025","14,28,349","36.18"
"RELIANCE","EQ","13-Oct-2011","849.65","850.00","858.00","842.10","845.25","846.90","849.78","41,95,352","3,56,51,07,345.90","1,11,283","15,55,746","37.08"
"RELIANCE","EQ","14-Oct-2011","846.90","842.00","869.70","841.50","865.00","866.90","860.41","40,85,035","3,51,47,97,329.55","1,12,218","11,79,539","28.87"
"RELIANCE","EQ","17-Oct-2011","866.90","867.00","868.85","831.15","833.05","833.80","840.34","50,40,808","4,23,59,75,716.20","1,34,399","19,00,108","37.69"
"RELIANCE","EQ","18-Oct-2011","833.80","825.00","826.40","811.35","820.70","819.90","817.64","41,82,965","3,42,01,46,599.30","1,09,003","19,32,200","46.19"
"RELIANCE","EQ","19-Oct-2011","819.90","825.50","845.00","824.10","841.60","843.00","836.18","27,13,867","2,26,92,74,756.45","69,847","9,49,120","34.97"
"RELIANCE","EQ","20-Oct-2011","843.00","834.85","840.90","822.00","840.40","838.70","829.69","22,79,371","1,89,11,71,977.90","61,441","5,72,567","25.12"
"RELIANCE","EQ","21-Oct-2011","838.70","840.00","849.20","831.10","839.20","835.75","841.53","23,64,175","1,98,95,23,508.70","62,752","5,63,838","23.85"
"RELIANCE","EQ","24-Oct-2011","835.75","848.00","854.00","843.55","845.20","846.50","848.33","20,75,894","1,76,10,46,669.30","53,038","7,43,502","35.82"
