,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
1440,RELIANCE,EQ,2020-10-29,"2,011.45","1,997.00","2,042.00","1,991.00","2,029.05","2,026.90","2,019.57","1,41,47,681","28,57,21,85,905.90","3,82,087","33,46,100",23.65
1441,RELIANCE,EQ,2020-10-30,"2,026.90","2,033.50","2,065.10","2,021.80","2,064.35","2,054.50","2,040.66","1,57,01,123","32,04,06,07,252.30","3,49,177","38,80,807",24.72
1442,RELIANCE,EQ,2020-11-02,"2,054.50","2,027.00","2,027.00","1,859.15","1,876.00","1,877.45","1,927.55","4,58,57,806","88,39,33,20,147.20","14,28,490","1,25,96,880",27.47
1443,RELIANCE,EQ,2020-11-03,"1,877.45","1,890.00","1,909.00","1,835.10","1,854.50","1,850.40","1,873.92","4,09,31,170","76,70,17,61,539.15","9,90,935","1,10,64,654",27.03
1444,RELIANCE,EQ,2020-11-04,"1,850.40","1,837.00","1,929.00","1,837.00","1,910.50","1,913.20","1,893.24","3,70,03,111","70,05,56,55,614.20","8,88,904","66,65,864",18.01
1445,RELIANCE,EQ,2020-11-05,"1,913.20","1,954.95","1,960.95","1,932.00","1,956.80","1,955.00","1,949.03","1,71,70,274","33,46,52,97,065.50","4,48,665","52,52,804",30.59
1446,RELIANCE,EQ,2020-11-06,"1,955.00","1,990.00","2,040.00","1,978.15","2,025.00","2,029.15","2,015.72","3,07,70,080","62,02,38,80,104.20","6,49,196","84,68,704",27.52
1447,RELIANCE,EQ,2020-11-09,"2,029.15","2,062.10","2,069.00","2,036.00","2,051.00","2,050.70","2,051.91","1,65,39,467","33,93,75,02,974.20","3,84,188","62,58,441",37.84
1448,RELIANCE,EQ,2020-11-10,"2,050.70","2,077.00","2,090.00","2,041.20","2,089.00","2,084.55","2,071.86","1,70,45,147","35,31,51,60,450.80","3,99,073","64,58,474",37.89
1449,RELIANCE,EQ,2020-11-11,"2,084.55","2,089.00","2,095.00","1,978.10","1,999.80","1,997.20","2,027.80","2,61,78,477","53,08,46,10,845.15","6,47,679","90,63,191",34.62
1450,RELIANCE,EQ,2020-11-12,"1,997.20","1,981.00","2,008.45","1,965.00","1,981.75","1,980.00","1,987.14","1,84,81,466","36,72,52,18,562.60","4,40,630","67,46,860",36.51
